0.531395,0.53
0.562667,0.56
0.593691,0.59
0.624345,0.62
0.654508,0.65
0.684062,0.68
0.71289,0.71
0.740877,0.74
0.767913,0.77
0.793893,0.79
0.818712,0.82
0.842274,0.84
0.864484,0.86
0.885257,0.89
0.904508,0.9
0.922164,0.92
0.938153,0.94
0.952414,0.95
0.964888,0.96
0.975528,0.98
0.984292,0.98
0.991144,0.99
0.996057,1
0.999013,0.98
1,0.98
0.999013,0.98
0.996057,0.98
0.991144,0.98
0.984292,0.98
0.975528,0.98
0.964888,0.96
0.952414,0.95
0.938153,0.94
0.922164,0.92
0.904508,0.9
0.885257,0.89
0.864484,0.86
0.842274,0.84
0.818712,0.82
0.793893,0.79
0.767913,0.77
0.740877,0.74
0.71289,0.71
0.684062,0.68
0.654508,0.65
0.624345,0.62
0.593691,0.59
0.562667,0.56
0.531395,0.53
0.5,0.5
0.468605,0.47
0.437333,0.44
0.406309,0.41
0.375655,0.38
0.345492,0.35
0.315938,0.32
0.28711,0.29
0.259123,0.26
0.232087,0.23
0.206107,0.21
0.181288,0.18
0.157726,0.16
0.135516,0.14
0.114743,0.11
0.0954915,0.1
0.077836,0.08
0.0618467,0.06
0.0475865,0.05
0.0351118,0.04
0.0244717,0.02
0.0157084,0.02
0.00885637,0.01
0.00394265,0
0.000986636,0.02
0,0.02
0.000986636,0.02
0.00394265,0.02
0.00885637,0.02
0.0157084,0.02
0.0244717,0.02
0.0351118,0.04
0.0475865,0.05
0.0618467,0.06
0.077836,0.08
0.0954915,0.1
0.114743,0.11
0.135516,0.14
0.157726,0.16
0.181288,0.18
0.206107,0.21
0.232087,0.23
0.259123,0.26
0.28711,0.29
0.315938,0.32
0.345492,0.35
0.375655,0.38
0.406309,0.41
0.437333,0.44
0.468605,0.47
0.5,0.5
0.5,0.5
